occ_4_digit,occ_4_digit_description,occ_2_digit_47,assist,contact,customer,disease,face2face,outcover,outexposed,proximity,public,vehicleclosed,vehicleopen,wearcommon,wearspecial,n_workers_weighted_round
5111,Librarians,51.00000000,2.81999993,4.26999998,3.97000003,2.15000010,4.55999994,1.41999996,1.36000001,3.07999992,3.83999991,1.19000006,1.00000000,1.16999996,1.00000000,1460
5112,Conservators and curators,51.00000000,2.41000009,4.30999994,4.09000015,1.19000006,4.55999994,1.58000004,2.02999997,2.75000000,3.77999997,2.23000002,1.47000003,1.80999994,1.22000003,305
5113,Archivists,51.00000000,2.13000011,3.94000006,4.13000011,1.07000005,4.69000006,1.37000000,1.24000001,2.75999999,3.94000006,2.13000011,1.10000002,1.66999996,1.57000005,125
5121,Authors and writers,51.00000000,1.79666662,3.91333342,3.22333336,1.09666669,3.94666648,1.47666669,1.63333333,2.39666677,2.40000010,2.06999993,1.09666669,1.02666664,1.01333332,4980
5122,Editors,51.00000000,1.88000000,4.55000019,3.71000004,1.00000000,4.80999994,1.29999995,1.63000000,3.14000010,2.89000010,1.88000000,1.00000000,1.00000000,1.00000000,2545
5123,Journalists,51.00000000,1.76999998,4.67999983,3.68000007,1.36000001,4.63999987,2.50000000,3.00000000,3.18000007,3.50000000,3.73000002,1.45000005,1.40999997,1.23000002,1500
5125,"Translators, terminologists and intepreter",51.00000000,3.33999991,4.86000013,3.01999998,3.25000000,4.19999981,1.41999996,1.46000004,3.64000010,4.23999977,1.48000002,1.00999999,1.53999996,1.65999997,1770
5131,"Producers, directors, choreographers and related occupations",51.00000000,2.37249994,4.65374994,3.68624997,1.13750005,4.73000002,1.76375008,1.98749995,3.50999999,3.60750008,2.15875006,1.04750001,1.19875002,1.07500005,4380
5132,"Conductors, composers and arrangers",51.00000000,1.88000000,2.98000002,2.58999991,1.00000000,3.64000010,1.21000004,1.17999995,2.25999999,3.02999997,1.63000000,1.00000000,1.00000000,1.00000000,560
5133,Musicians and singers,51.00000000,2.71999979,4.45499992,3.12500000,1.73000002,3.77999997,1.74000001,1.46499991,4.51999998,4.30999994,1.53999996,1.00000000,1.52999997,1.00000000,6680
5134,Dancers,51.00000000,2.42000008,4.76000023,3.02999997,1.85000002,4.65999985,1.74000001,1.72000003,4.90999985,3.95000005,1.30999994,1.19000006,1.74000001,1.30999994,1795
5135,Actors and comedians,51.00000000,2.39000010,4.71000004,3.65000010,1.17999995,4.38999987,1.63999999,1.75999999,4.80000019,4.15999985,2.01999998,1.44000006,1.32000005,1.14999998,3765
