occ_4_digit,occ_4_digit_description,occ_2_digit_47,assist,contact,customer,disease,face2face,outcover,outexposed,proximity,public,vehicleclosed,vehicleopen,wearcommon,wearspecial
9224,"Supervisors, furniture and fixtures manufacturing",92,3.3099999,4.6199999,3.04,1.02,4.6199999,2.1800001,2.52,3.5799999,1.86,2.3199999,1.4,4.3899999,1.42
9226,"Supervisors, other mechanical and metal products manufacturing",92,3.3099999,4.6199999,3.04,1.02,4.6199999,2.1800001,2.52,3.5799999,1.86,2.3199999,1.4,4.3899999,1.42
9227,"Supervisors, other products manufacturing and assembly",92,3.3099999,4.6199999,3.04,1.02,4.6199999,2.1800001,2.52,3.5799999,1.86,2.3199999,1.4,4.3899999,1.42
9231,"Central control and process operators, mineral and metal processing",92,2.5599999,3.48,1.6900001,1.08,4.02,1.27,1.8200001,2.71,1.49,1.11,2.4300001,5,4.04
9232,"Central control and process operators, petroleum, gas and chemical processing",92,2.50125,4.1849999,2.09375,1.29625,4.6999998,3.23,4.0662498,3.2149999,1.83875,2.73125,2.3387501,4.9475002,2.7825
9235,"Pulping, papermaking and coating control operators",92,2.3050001,3.8000002,1.79,1.5899999,4.355,1.51,1.53,3.7049999,1.4200001,1.1949999,1.5550001,4.6350002,3
9241,Power engineers and power systems operators,92,2.484,4.5180001,2.5640001,1.3200001,4.6900001,2.836,3.4460001,3.448,2.0599999,2.392,2.21,4.4000001,2.6240001
9243,Water and waste treatment plant operators,92,3.0899999,4.0999999,3.05,2.0899999,4.7199998,3.23,4,2.98,3.27,3.3800001,2.71,4.54,2.74
9411,"Machine operators, mineral and metal processing",94,2.5899999,3.8057144,1.8714286,1.3285714,4.3157144,1.6485714,1.9371428,3.1200001,1.7414286,1.4814285,2.4242857,4.9614286,2.5899999
9412,Foundry workers,94,2.5900002,3.845,1.47,1.2,4.1550002,1.145,1.5250001,3.7350001,1.375,1.105,2.325,4.9899998,1.75
9413,Glass forming and finishing machine operators and glass cutters,94,2.6485715,3.6542857,2.0557144,1.1757143,4.2142859,1.4342858,1.63,3.0628572,1.91,1.4857143,1.8471428,4.4142857,2.1857142
9414,"Concrete, clay and stone forming operators",94,2.6371429,3.6971428,2.4385715,1.1799999,4.2542858,1.7214285,1.9157143,3.1100001,2.2857141,1.7,1.9485714,4.4357142,2.1542857
9415,"Inspectors and testers, mineral and metal processing",94,2.5,4.3800001,2.45,1.15,4.3000002,1.7,1.62,3.5799999,1.54,1.37,1.53,4.75,1.6900001
9416,Metalworking and forging machine operators,94,2.4625001,3.9200001,2.145,1.0274999,4.3899999,1.3049999,1.485,3.2525001,1.5425,1.3924999,2.4375,4.79,1.89
9417,Machining tool operators,94,2.4071429,3.5971429,2.0985715,1.0971428,4.4042854,1.1071428,1.3528571,3.0442858,1.5557142,1.38,1.6171428,4.8914285,1.6828572
9418,Other metal products machine operators,94,2,3.73,2.0899999,1.52,4.4400001,1.17,1.96,3.3,1.4299999,1.9400001,2.1099999,5,1.59
9421,Chemical plant machine operators,94,2.4285715,4.0714288,1.8128572,1.3771428,4.6414285,2.4957144,3.05,3.2271428,1.6257143,1.9842857,2.1742859,4.8657141,2.9342856
9422,Plastics processing machine operators,94,2.5057142,3.9742858,1.8714286,1.25,4.3971429,1.26,1.5142857,3.5314286,1.6428572,1.2371429,2.1685715,4.9471431,2.2285714
9423,Rubber processing machine operators and related workers,94,2.52,3.954,1.8099999,1.17,3.7420001,1.368,1.352,3.256,1.548,1.15,1.668,4.3280001,1.6900001
9431,Sawmill machine operators,94,2.1700001,3.9400001,1.2,1.22,4.3000002,1.8,2.04,3.28,1.39,1.4299999,1.73,5,1.09
