province,occ_4_digit,female,lives_with_health_worker,lives_with_health_worker_1,lives_with_health_worker_2,lives_with_health_worker_3,age_60_plus,lives_with_age_60_plus,age_15_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65_74,age_75_plus,lives_with_kids_17_under,lives_with_kids_5_under,lives_with_kids_6_12,lives_with_kids_13_17,lives_with_kids_6_17,lone_parent,multi_gen_hh,low_income_family,educ_lesshighschool,educ_highschool,educ_somecollege,educ_bachelor,main_earner_cf,main_earner_ef,main_earner_hh,language_spoken_not_english,immigrant,nonperm_res,visible_minority_1,visible_minority_2,unsuitable_dwelling,shelter_cost_income_ratio,low_income_nbhd,number_of_families,takes_public_transit,duration_of_commute,work_from_home,mental_health_sometimes,mental_health_always
ON,7312,.0089725209,.14004123,.052940786,.048319452,.040646162,.12746078,.21162473,.12558605,.22862729,.20020282,.19772521,.19206052,.048329741,.0074684075,.38396424,.17064603,.18058155,.14964463,.28107384,.028797623,.03515958,.037356049,.082046486,.15818933,.7365458,.023218427,.76705712,.75813341,.74581039,.053953294,.014818433,.0064390162,.065377906,.11161014,.04638806,25.370848,.05396314,97496.297,.0096507873,29.493298,.038988091,.074916966,.02010382
ON,7313,.019731076,.14456749,.058649246,.048194453,.041187633,.088141359,.20474796,.108561,.27700862,.21613073,.21972561,.14289477,.032592777,.0030864815,.40299919,.17549819,.19443066,.1541961,.29281011,.028902296,.064067893,.069349289,.022427909,.097580977,.82716668,.052824482,.68372548,.66411674,.64368743,.079738334,.027805742,.0025436936,.15039709,.16756925,.059578724,36.167816,.13442248,231901.11,.025409186,33.355602,.027908547,.086000882,.025577815
ON,7314,.019806748,.12506619,.029905805,.046037331,.054537524,.14362606,.27284417,.070204705,.17089188,.16203152,.31479847,.22445926,.024627561,.032986611,.34851596,.13460408,.12882569,.1295366,.2254674,.028547514,.087281175,.01915366,.069129668,.22728148,.63501978,.068569086,.83166343,.82549834,.82562983,.076581702,.030211477,-.000032359829,.13614972,.16470319,.069354326,25.243948,.25675148,344772.56,.073796041,35.407551,.012875732,.07980305,.020987192
ON,7315,.045732934,.14301829,.057681274,.052862458,.036074195,.13494204,.24532081,.064342938,.19364552,.19762802,.26727679,.2344088,.037829489,.0048684422,.36607194,.14456677,.17682472,.1563423,.2792879,.030334726,.060992774,.027193943,.030251985,.13838139,.70932502,.12204163,.80267465,.78960121,.76731431,.12923899,.044948261,.0068883044,.28121573,.30176708,.070231907,24.549747,.14604926,250843.8,.02732013,34.066811,.010468822,.065219186,.020682957
ON,7316,.071519069,.13311531,.036434505,.042582046,.056661196,.13975418,.23300363,.086106688,.22751856,.17469361,.26270482,.2068585,.042251933,-.00013412331,.30898166,.14158998,.1230664,.11758134,.20283908,.023623208,.045792002,.025888734,.097963862,.27150881,.58402067,.046506729,.73389512,.71569103,.71133584,.088159338,.045243111,-.00016947005,.11085226,.11778882,.043885831,16.816774,.1027611,122514.88,.020838486,28.364729,.0028190869,.076931171,.012266483
ON,7318,.0033070799,.13866194,.055325996,.051540125,.031796504,.04898059,.13153881,.075466484,.28778398,.22194897,.27680483,.11584326,.018531617,.0036208949,.40873,.2194916,.16903847,.1318887,.26391283,.042385936,.034606941,.018951202,.022447657,.14495115,.77533531,.05726593,.88966799,.87810504,.86230946,.029823557,.02013351,.0070314314,.099304907,.1163848,.043511257,21.588017,.18062754,298045.31,.042645548,45.39867,.01173215,.079628684,.021012161
ON,7321,.021894714,.13302454,.049193364,.04394995,.042922664,.10954203,.24236807,.14527108,.22342473,.19308053,.23115487,.16076317,.039304093,.0070015187,.38911477,.16591455,.18106431,.16348864,.28979632,.033427458,.081722781,.079220735,.067001894,.17844568,.72079176,.033760697,.65848666,.63102758,.60644859,.11062831,.049710687,.0067108171,.23332533,.25857559,.092511781,35.836987,.14250824,224541.44,.029224673,25.146885,.023825124,.075105697,.019824093
ON,7322,.044341858,.12598619,.044068765,.038113881,.047073953,.13909897,.268484,.091289803,.17442818,.17633301,.27826849,.22189939,.048353881,.0094272643,.36206514,.14040114,.180766,.16148822,.28542876,.036989342,.076394401,.1019081,.18184298,.25568262,.53370506,.028769398,.65303737,.62296164,.59872311,.11760703,.045026638,.0063884165,.22772986,.256179,.090189859,46.815159,.14539847,216934.19,.035670929,25.34638,.034584183,.07426618,.018884154
ON,7331,.033228204,.11500118,.041337669,.055340607,.027309118,.16973105,.31071329,.10640118,.18820591,.18106712,.23770918,.2036486,.067334399,.01563365,.32071909,.12269398,.15668125,.16134645,.254069,.029358057,.11238384,.14628474,.062557936,.15069295,.74592733,.040821806,.63807285,.57624763,.55378324,.095145904,.025062893,.0025748187,.15355314,.18394795,.074391104,28.759081,.096581899,179336.59,.01848064,29.898079,.034714531,.065360688,.0088925203
ON,7332,.03800356,.12324517,.039059225,.043064006,.041158542,.2663129,.36268061,.070928738,.14116228,.1528964,.24566555,.23650947,.12127372,.031563867,.35789666,.1245559,.18323556,.17234461,.29351565,.041022278,.072345756,.12900198,.097261101,.22963853,.61005998,.063040413,.57814926,.55116534,.53568941,.1117504,.041176904,.0060263779,.28414816,.300419,.079492249,34.415508,.1681482,277310.25,.03874677,28.285759,.084093101,.08008761,.023242263
